,title,media,date,desc
0,Pré-sal: Centro Oeste fica com R$ 1 bilhão dos recursos da cessão onerosa,Correio Braziliense,2020-01-01,"O dinheiro que será distribuído veio do leilão de petróleo da cessão  onerosa, contrato feito pela União com a Petrobras, que permitiu que a  estatal explorasse 5..."
1,"Preço do etanol fecha 2019 em alta de 11,5% nas bombas",Diario de Pernambuco,2020-01-01,"O diesel foi o segundo combustível com maior alta no ano passado, de 8,7%,  motivada por reajustes promovidos pela Petrobras no preço de refinaria –até  15 de..."
2,"Série ""Cineastas"" e mais dicas para curtir na TV nesta quarta-feira",GZH,2020-01-01,"Cosmatos; e, por fim, às 23h15min, Rambo III (1988), de Peter MacDonald.  Especial Lenine e Petrobras Sinfônica - TV Brasil, 22h. Concerto especial  com o..."
3,"Feriados em 2020: 11 datas serão em dias da semana e comércio pode perder R$ 11,8 bi",Money Times,2020-01-01,O dia 29 de fevereiro cairá em um sábado. Veja o calendário de feriados:  Leia também: Petrobras.
4,O incêndio que matou quase todos os macacos em um zoológico da Alemanha,BBC,2020-01-01,Principais notícias. Como a Petrobras virou tema central das eleições. em  11 horas. Como funciona o rigoroso sistema de pontos para imigrar para o  Canadá.
5,Multa adicional de 10% do FGTS será extinta a partir de hoje,UOL Economia,2020-01-01,MP-RJ investiga Petrobras por suspeita de improbidade em reajustes ...  MP-RJ investiga Petrobras por suspeita de improbidade em reajustes.  23/06/2022 22h07...
6,"Vizinha do Brasil, Guiana deve crescer 86,5% em 2020, segundo o FMI",O Globo,2020-01-01,"Petrobras planeja mais sete plataformas em campo gigante do megaleilão ·  Plataforma P-74, no campo de Búzios, uma das quatro áreas do megaleilão.  Economia..."
7,Cojuv levou ações a 13 municípios e atendeu a centenas de ...,Piauí Hoje,2020-01-01,"Dr. Pessoa é furtado durante procissão de Corpus Christi e diz que quer  encontrar suspeito · Petrobras anuncia novo aumento nos preços do diesel  (14,2%) e..."
8,"Após alta, distribuidores 'seguram' preço do gás de cozinha",O Liberal,2020-01-01,"Esse é o terceiro aumento seguido no preço do gás: em novembro, a Petrobras  reajustou em 4% o preço do botijão de 13 kg. Por Danilo Reenlsober."
9,Em Guaratuba já dá para abastecer growlers e beber cerveja na praia,Gazeta do Povo,2020-01-01,Inflação global descontrolada e alta de juros nos EUA. O Brasil está  preparado? Preço do combustível atormenta a vida dos brasileiros. Culpa da  Petrobras?
10,Indústria tem maior nível de emprego em 4 anos; petrobras quer investir na Bacia de Campos,G1,2020-02-01,Indústria tem maior nível de emprego em 4 anos; petrobras quer investir na  Bacia de Campos. Veja quais são as notícias de destaque nos jornais  brasileiros. 02/...
11,"Clarissa Lins, do IBP, renuncia como integrante de conselho da Petrobras",Época Negócios,2020-02-01,"A Petrobras informa que a conselheira de administração Clarissa Lins pediu  renúncia ao cargo. Ela é diretora presidente do Instituto Brasileiro de  Petróleo,..."
12,Petrobras viverá momento de transformação nos anos 2020,Valor Econômico,2020-02-01,"Os anos 2020 prometem ser de profundas transformações para a Petrobras.  Diferente do momento auspicioso do início dos anos 2010, quando a  petroleira vivia..."
13,Termelétrica paranaense Araucária tem operação comercial prorrogada pela Aneel,Money Times,2020-02-01,"A usina de Araucária, com duas turbinas a gás e uma a vapor, é uma  sociedade entre a elétrica paranaense Copel, com 80%, e a petroleira  Petrobras, com 20% de..."
14,Cidades da Zona da Mata e Vertentes recebem recursos de leilões do petróleo; veja valores,G1,2020-02-01,"Plataforma de Merluza, da Petrobras, na Bacia de Santos — Foto: Divulgação/  1 de 1 Plataforma de Merluza, da Petrobras, na Bacia de Santos — Foto:..."
15,Começam a valer novas regras para opção de saque aniversário do FGTS,Seu Dinheiro,2020-02-01,GAME OVER para Petrobras? Clique aqui e descubra 2 ações que 'vencem' a  estatal. Menu.
16,"Ônibus tomba na BR-381, em Betim, e 25 pessoas ficam feridas",O TEMPO,2020-02-01,"O acidente aconteceu na altura do KM 485, perto da Petrobras, no sentido  São Paulo. O coletivo é da linha 3126 (Vila das Flores/ Belo Horizonte)."
17,Natura & Co consegue aprovações para operar na Bolsa de ...,TradeMap,2020-02-01,Eztec (EZTC3) volta ao mercado e anuncia dois empreendimentos de R$ 414  milhões · Chaminé de produção de óleo da Petrobras...
18,Referência no mercado do petróleo ExxonMobil está com vagas de emprego para área de TI,Click Petróleo e Gás,2020-02-01,"Privatização da Petrobras: uma proposta para o mercado nacional de  petróleo, gás natural e biocombustíveis. 23 de junho de 2022 — Flavia  Marinho."
19,Trump tem 'cofre de guerra' para financiar reeleição,ISTOÉ Independente,2020-02-01,Ciro Nogueira ataca Petrobras com expectativa de novo aumento de ... Lira  anuncia reunião de líderes para discutir política de preços da Petrobras.
